ngal    M     phi    Err
   1 -24.62 1.25e-07 1.25e-07
   1 -24.12 1.25e-07 1.25e-07
   6 -23.88 6.29e-07 2.59e-07
   5 -23.62 2.50e-07 1.60e-07
  24 -23.38 1.97e-06 2.31e-07
  96 -23.12 4.83e-06 6.42e-07
 276 -22.88 1.49e-05 1.19e-06
 735 -22.62 4.26e-05 2.06e-06
1769 -22.38 1.15e-04 5.53e-06
3512 -22.12 2.55e-04 1.21e-05
6235 -21.88 5.30e-04 1.92e-05
9663 -21.62 9.76e-04 2.88e-05
12711 -21.38 1.57e-03 2.37e-05
15360 -21.12 2.37e-03 6.21e-05
16862 -20.88 3.26e-03 8.70e-05
17102 -20.62 4.21e-03 1.25e-04
15970 -20.38 5.22e-03 1.95e-04
13703 -20.12 6.14e-03 2.46e-04
11835 -19.88 7.15e-03 2.69e-04
10130 -19.62 7.85e-03 3.12e-04
8161 -19.38 8.32e-03 5.38e-04
6639 -19.12 9.04e-03 7.05e-04
5107 -18.88 9.62e-03 8.41e-04
4168 -18.62 1.09e-02 1.12e-03
3129 -18.38 1.18e-02 1.25e-03
2270 -18.12 1.27e-02 9.99e-04
1738 -17.88 1.41e-02 1.31e-03
1483 -17.62 1.68e-02 1.58e-03
1205 -17.38 1.92e-02 1.17e-03
 776 -17.12 1.91e-02 1.36e-03
 586 -16.88 2.11e-02 2.61e-03
 575 -16.62 2.71e-02 3.68e-03
 404 -16.38 3.08e-02 3.20e-03
 260 -16.12 2.94e-02 4.53e-03
 232 -15.88 3.58e-02 4.69e-03
 191 -15.62 3.80e-02 4.40e-03
 156 -15.38 4.10e-02 5.69e-03
 133 -15.12 4.69e-02 4.49e-03
 103 -14.88 5.29e-02 1.18e-02
  57 -14.62 4.84e-02 1.57e-02
  39 -14.38 5.38e-02 1.35e-02
  30 -14.12 5.65e-02 1.41e-02
  20 -13.88 5.22e-02 1.73e-02
  16 -13.62 6.39e-02 1.71e-02
  12 -13.38 6.72e-02 2.20e-02
  10 -13.12 8.18e-02 3.97e-02
   9 -12.88 8.13e-02 2.83e-02
   9 -12.62 1.64e-01 7.19e-02
   4 -12.38 6.92e-02 3.57e-02
   5 -12.12 1.17e-01 6.88e-02
